UPC,Name,Price
636227231271,2 PACK POWER GRIP CLIP #PGC01AST,1.99
636227231264,2 PACK POWER GRIP CLIP #PGC01BLA,1.99
154789614562,2 SIDES SPONGE BRUSH ( MEDIUM),6.99
607203028642,24K GOLD LIP GLOW GOLD,2.99
607203039174,24K GOLD LIP GLOW MINT,2.99
607203028659,24K GOLD LIP GLOW PINK,2.99
821090951269,"2X BO LOC 14"" 613",6.99
821090951313,"2X BO LOC 14"" OT99J",7.99
827298922612,"2X BUTTERFLY JUNGLE ROSE BRAID 18"" 1",8.49
827298922629,"2X BUTTERFLY JUNGLE ROSE BRAID 18"" 1B",8.49
827298922636,"2X BUTTERFLY JUNGLE ROSE BRAID 18"" 2",8.49
827298922643,"2X BUTTERFLY JUNGLE ROSE BRAID 18"" 2T1B/27",8.49
827298922650,"2X BUTTERFLY JUNGLE ROSE BRAID 18"" 2T1B/30",8.49
827298922667,"2X BUTTERFLY JUNGLE ROSE BRAID 18"" 2T1B/350",8.49
827298922674,"2X BUTTERFLY JUNGLE ROSE BRAID 18"" 2T1B/425",8.49
827298922681,"2X BUTTERFLY JUNGLE ROSE BRAID 18"" 4",8.49
803868496943,"2X BUTTERFLY LOCS 18"" 30",5.99
803868496950,"2X BUTTERFLY LOCS 18"" 613",5.99
803868496998,"2X BUTTERFLY LOCS 18"" T1B/BUG",6.99
803868497087,"2X BUTTERFLY LOCS 24"" T1B/27",6.99
803868497094,"2X BUTTERFLY LOCS 24"" T1B/30",6.99
803868497100,"2X BUTTERFLY LOCS 24"" T1B/BG",6.99
768538738795,"2X CALIF. BUTTERFLY LOCS SOFT TIPS 18"" 1",12.99
768538738818,"2X CALIF. BUTTERFLY LOCS SOFT TIPS 18"" 1B",12.99
768538738849,"2X CALIF. BUTTERFLY LOCS SOFT TIPS 18"" 2",12.99
768538738825,"2X CALIF. BUTTERFLY LOCS SOFT TIPS 18"" 27",12.99
768538738832,"2X CALIF. BUTTERFLY LOCS SOFT TIPS 18"" 30",12.99
768538738801,"2X CALIF. BUTTERFLY LOCS SOFT TIPS 18"" 4",12.99
768538738856,"2X CALIF. BUTTERFLY LOCS SOFT TIPS 18"" T1B/27",12.99
768538738863,"2X CALIF. BUTTERFLY LOCS SOFT TIPS 18"" T1B/30",12.99
768538738870,"2X CALIF. BUTTERFLY LOCS SOFT TIPS 18"" T1B/BUG",12.99
821090919542,"2X GYPSY LOCS 18"" 30",10.99
821090919528,"2X GYPSY LOCS 18"" 4",10.99
821090919559,"2X GYPSY LOCS 18"" 99J",12.99
821090919597,"2X GYPSY LOCS 18"" OM3T430",12.99
650270533311,"2X HIPPIE LOC 30""",10.99
650270533267,"2X HIPPIE LOC 30"" 1",10.99
650270533274,"2X HIPPIE LOC 30"" 1B",10.99
650270533281,"2X HIPPIE LOC 30"" 2",10.99
650270533298,"2X HIPPIE LOC 30"" 4",10.99
650270533342,"2X HIPPIE LOC 30"" T30",10.99
650270533359,"2X HIPPIE LOC 30"" T530",10.99
768538754054,"2X NU LOCS 24"" 613",10.99
768538654132,"2X NU LOCS 24"" M1B/30",10.99
768538843376,"2X NU LOCS 24"" T-WLD CHRY",10.99
768538761601,"2X PIXI LOCS 36"" 2",11.99
768538761649,"2X PIXI LOCS 36"" 613",11.99
768538761588,"2X PIXI LOCS 36"" 1",11.99
768538761595,"2X PIXI LOCS 36"" 1B",11.99
768538761618,"2X PIXI LOCS 36"" 27",11.99
